名前,タグ,Category,書類制作日付,URL,クライアント,テキスト,プロジェクト,備考,実施予定日,"日付 ",重要度
しくじり先生の流れ　23年07月20日,"VIdeo, work notes, アイデア, 情報",work notes,2024年6月13日 15:36,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),ひーが作ってくれた、しくじり先生風の自分紹介動画の台本,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
占い動画 入れたい内容,"VIdeo, work notes, アイデア, 情報",work notes,2024年6月12日 17:00,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),ダン・ハーモンのストーリー・サークルに合わせたストーリー作りに入れたい内容,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
占い講座説明　AIのアドバイス,"VIdeo, work notes, アイデア, 情報",work notes,2024年6月12日 16:27,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),アンケートに答えたが、使えない内容だったため採用しなかった。しかし、自分が書いたアンケートの内容は生かせるかも。,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
占い講座説明VIDEO　アイデア,"VIdeo, work notes, アイデア, 情報",work notes,2024年6月12日 15:49,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
【物語】次回動画修正,"VIdeo, work notes, アイデア, 情報",work notes,2024年6月11日 14:43,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),ジョセフ・キャンベルの「ヒーローの冒険」に沿って、 ChatGPT作成の物語,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
自分の夢（共感を得るオープンな夢）,"アイデア, コンテンツネタ, 情報",work notes,2024年6月7日 16:16,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
なるほどさん。名前はずし,,work notes,2024年6月2日 16:53,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙を学ぶ (https://app.notion.com/p/a290f74287fa4464a0e56fec00a9a5cf?pvs=21),,,,
カードの内容,"work notes, コンテンツネタ",work notes,2024年5月22日 17:41,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
集客プラン①　詳細,"HP, WP, 修正",work notes,2024年5月21日 16:37,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),,そら集客アップ作戦 (https://app.notion.com/p/8831ff59e50444f084c1dec100bbd639?pvs=21),,,,
そらのAIによる治療説明,"HP, アイデア, 修正",work notes,2024年5月20日 17:47,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),,そら集客アップ作戦 (https://app.notion.com/p/8831ff59e50444f084c1dec100bbd639?pvs=21),,,,
アインシュタインの考える神、娘に宛てた手紙,,work notes,2024年5月5日 12:36,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
占い講座に入れる内容　アイデア,"アイデア, コンテンツネタ",work notes,2024年4月23日 11:41,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
公式LINEの機能と提案したLINE集客,,work notes,2024年4月21日 20:03,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),公式LINE予約の相談を受けた際に、提案したLINE集客,,,,,
占いの注意点,アイデア,work notes,2024年4月16日 18:22,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
占い説明動画メモ　伝えたいこと,"VIdeo, アイデア, コンテンツネタ, プロンプト",work notes,2024年4月16日 11:39,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),占いの説明動画の作成用プロンプト用のメモ,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
名前、コンセプト作りプロンプト-2,"アイデア, プロンプト",work notes,2024年4月9日 12:17,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
名前、コンセプト作りプロンプト-1,"アイデア, プロンプト",work notes,2024年3月9日 11:17,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
アジア経済NEWSのAIエージェント化,プロンプト,work notes,2024年3月4日 17:56,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,YouTubeチェンネル運営ビジネス (https://app.notion.com/p/86f2d2e9f4074174a2e1898ace238df6?pvs=21),,,,
洗脳から抜け出す動画　【プロンプト】,プロンプト,work notes,2024年3月1日 12:10,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
サイト名,"HP, work notes, アイデア",work notes,2024年2月20日 18:27,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
健康動画 / カテゴリー,"work notes, アイデア",work notes,2024年2月14日 11:16,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
SUNNYSH site / concept,"HP, work notes, アイデア",work notes,2024年2月13日 12:30,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,SUNNYSH site (https://app.notion.com/p/617c1e5e22194c73a20a6619bd87192b?pvs=21),,,,
名前、コンセプト作りプロンプト-3,"アイデア, プロンプト",work notes,2024年2月11日 19:43,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
未来の地球はオタクだらけ,"work notes, アイデア",work notes,2024年2月10日 19:15,https://www.youtube.com/watch?v=MJzzsCWgl0U,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),「マスではないオタク性を極めよ」の動画からの気付き,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
2024年これからの時代の仕事アンケート,"アイデア, テスト",work notes,2024年2月6日 1:35,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,SUNNYSH’s entire Business (https://app.notion.com/p/5a5d1c7d6e93463e9e904d45ea1ced20?pvs=21),,,,
自分の波動を把握し、幸せになる波動に調整する,work notes,work notes,2024年2月3日 9:35,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙を学ぶ (https://app.notion.com/p/a290f74287fa4464a0e56fec00a9a5cf?pvs=21),,,,
動画を作り始める,"work notes, アイデア",work notes,2024年1月27日 17:08,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙を学ぶ (https://app.notion.com/p/a290f74287fa4464a0e56fec00a9a5cf?pvs=21),,,,
アンケート動画のアンケート内容を考える,"work notes, アイデア",work notes,2024年1月24日 16:28,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
自分の可愛げのあるウイークポイント,"work notes, アイデア",work notes,2024年1月17日 23:22,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
アンケート動画の内容の項目を考える,"work notes, アイデア",work notes,2024年1月11日 16:30,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
アンケート動画で、AIが考えた台本,work notes,work notes,2024年1月10日 19:07,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
アンケート動画のプロンプト,"work notes, アイデア",work notes,2024年1月10日 18:02,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
ハイトレFX億トレ式 - マスター計画,ハイトレFX億トレ式,work notes,2024年1月9日 17:46,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),ハイトレ構築 / 何をしていくか,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
コズ健康情報 - スケジュール - 決める,work notes,work notes,2024年1月9日 16:04,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
コズ健康情報 - スケジュール,work notes,work notes,2024年1月9日 12:01,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
papperの手法の原理を分析,"work notes, ハイトレFX億トレ式",work notes,2024年1月5日 12:11,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
2024年度 - FX Master Plan,"FX, アイデア, ハイトレFX億トレ式",work notes,2024年1月3日 15:06,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),2024年の計画 / 月ごと,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
こずにもらう動画アンケートとは？,work notes,work notes,2023年12月26日 12:09,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
健康動画 / 考え方、コンセプト,"work notes, アイデア",work notes,2023年12月26日 12:05,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,健康チャンネルの構築 (https://app.notion.com/p/a8d6b3bb18fd4284b8096de3c4c0da6e?pvs=21),,,,
ハイトレFX億トレ式で成功するために,"FX, アイデア, ハイトレFX億トレ式",work notes,2023年12月24日 11:08,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),ハイトレ構築に必要なことまとめ,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
PINTのツイッター設置コード,,work notes,2023年12月13日 14:08,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,"PINT Website修正　2人コーチ担当削除 (https://app.notion.com/p/9d8b4a8a27f14aa59c53fa061c97c605?pvs=21), PINT Website修正 (https://app.notion.com/p/b411dd577ef6453bad2333524de3cd96?pvs=21)",,,,
ChatGTPが作ったGMMA手法,"FX, work notes, アイデア, テスト",work notes,2023年12月3日 0:09,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
自分のブランディング全般について,アイデア,work notes,2023年11月28日 12:04,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
問題解決 or 条件追加,"work notes, アイデア",work notes,2023年11月24日 11:25,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,墨子塾メタバース (https://app.notion.com/p/dfd8df7ed79645e7b82320058bc0b133?pvs=21),,,,
コンセプト・ルール アイデア メモ,"work notes, アイデア",work notes,2023年11月22日 13:22,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,墨子塾メタバース (https://app.notion.com/p/dfd8df7ed79645e7b82320058bc0b133?pvs=21),,,,
MGCへのプレゼン資料,アイデア,work notes,2023年11月21日 12:03,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,墨子塾メタバース (https://app.notion.com/p/dfd8df7ed79645e7b82320058bc0b133?pvs=21),,,,
自分がどうしたら最高に楽しいか？,"work notes, アイデア",work notes,2023年11月21日 11:54,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,墨子塾メタバース (https://app.notion.com/p/dfd8df7ed79645e7b82320058bc0b133?pvs=21),,,,
新しい時代の価値観が望むビジネスとは？,,work notes,2023年11月17日 11:47,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
誰に対して発信するか？,"work notes, アイデア",work notes,2023年11月17日 11:38,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
全体の集客の流れ,,work notes,2023年11月12日 16:55,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,SUNNYSH’s entire Business (https://app.notion.com/p/5a5d1c7d6e93463e9e904d45ea1ced20?pvs=21),,,,
プロンプト-memo　自己紹介,,work notes,2023年10月28日 17:01,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
何を投稿していくかのコンセプト・ルール,"work notes, アイデア",work notes,2023年10月21日 11:15,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
SNSをどこで発信するか決める,"work notes, アイデア",work notes,2023年10月10日 12:00,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
Insta内で見て欲しい人と、見て欲しくない人を決める,,work notes,2023年10月6日 11:13,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
Instaで投稿してみて思ったこと,,work notes,2023年10月6日 10:57,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
SNSはFacebookもやるべきか？今のとこヤメ,,work notes,2023年10月6日 10:52,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
ワンクリックでChatGPTの会話を保存・管理できるChrome拡張機能,Book Mark,work notes,2023年9月20日 13:05,https://noripon.blog/2023/03/23/how-to-setting-chatgpt-to-notion/,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,Notion を使いながらおぼえる (https://app.notion.com/p/1a495a1c8efa4cb196578060c7821ec0?pvs=21),,,,
キャッチコピー,アイデア,work notes,2023年9月18日 19:14,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
問題点,,work notes,2023年9月18日 18:36,,,,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
2023年9月16日　リニューアル挨拶,,work notes,2023年9月16日 13:51,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,YouTubeチェンネル運営ビジネス (https://app.notion.com/p/86f2d2e9f4074174a2e1898ace238df6?pvs=21),,,,
健康豆知識,YouTube,work notes,2023年9月16日 13:25,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,YouTubeチェンネル運営ビジネス (https://app.notion.com/p/86f2d2e9f4074174a2e1898ace238df6?pvs=21),,,,
健康の豆知識　タイトル案,,work notes,2023年9月16日 13:19,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,YouTubeチェンネル運営ビジネス (https://app.notion.com/p/86f2d2e9f4074174a2e1898ace238df6?pvs=21),,,,
中国ニュース追加の準備・注意すること,YouTube,work notes,2023年9月12日 14:45,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,YouTubeチェンネル運営ビジネス (https://app.notion.com/p/86f2d2e9f4074174a2e1898ace238df6?pvs=21),,,,
サーバー移動,"HP, WP, work notes",work notes,2023年9月11日 15:04,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),,,,,,
講座で教えていけないリスト,,work notes,2023年9月3日 11:18,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙・開運 講座 project (https://app.notion.com/p/daface4215604a0eaed690559d58040c?pvs=21),,,,
物語のネタ帳,,work notes,2023年8月31日 23:44,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,AIで物語を作る (https://app.notion.com/p/5560af21faff423c8c837e973d2eadcc?pvs=21),,,,
瞑想が上手くいかない時のワーク,,work notes,2023年8月26日 11:18,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,宇宙を学ぶ (https://app.notion.com/p/a290f74287fa4464a0e56fec00a9a5cf?pvs=21),,,,
【中止！】EA手法を確立していき、誰でも成果がでるようにする,,work notes,2023年8月26日 10:25,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
販売審査 入力内容,,work notes,2023年8月25日 17:56,,,,Merch by Amazon オリジナルTシャツ販売 (https://app.notion.com/p/9d61d03aec45413e8bc905373af9823e?pvs=21),,,,
ブランド構築のためのSNS発信の考え方　案,"work notes, アイデア",work notes,2023年8月18日 10:26,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
GTPによる ブランド構築 案（CHatGTP）,"work notes, アイデア",work notes,2023年7月27日 16:44,,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,自分ブランディング (https://app.notion.com/p/dbf32cc784c546bfbb23797de5f8d3b2?pvs=21),,,,
改善事例 スクール案内リンク修正 差し替え内容,,work notes,2023年7月26日 17:09,,海のサロン空 (https://app.notion.com/p/cac1b30910c34287934a1c33094eb8d8?pvs=21),,,,,,
HP新テーマ導入時のPINTさん要望,,work notes,2023年7月26日 16:02,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,"PINT Website修正　2人コーチ担当削除 (https://app.notion.com/p/9d8b4a8a27f14aa59c53fa061c97c605?pvs=21), PINT Website修正 (https://app.notion.com/p/b411dd577ef6453bad2333524de3cd96?pvs=21)",,,,
WpテーマASTRA,,work notes,2023年7月22日 16:56,https://wpastra.com/website-templates/page/9/,,,"PINT Website修正　2人コーチ担当削除 (https://app.notion.com/p/9d8b4a8a27f14aa59c53fa061c97c605?pvs=21), PINT Website修正 (https://app.notion.com/p/b411dd577ef6453bad2333524de3cd96?pvs=21)",,,,
PINT HP Facebookの修正で、高さ調整できない,,work notes,2023年7月15日 19:13,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),"FAcebookの高さを調整のためにCSSを下記の通り追加
しかし、反映されず。","PINT Website修正　2人コーチ担当削除 (https://app.notion.com/p/9d8b4a8a27f14aa59c53fa061c97c605?pvs=21), PINT Website修正 (https://app.notion.com/p/b411dd577ef6453bad2333524de3cd96?pvs=21)",,,,
ChatGTP  ウィジットエラーの対応 memo,,work notes,2023年7月14日 18:46,,PINTOTENNIS (https://app.notion.com/p/28cbbe711faf48ebb5b6d8c4a4a7d894?pvs=21),,"PINT Website修正　2人コーチ担当削除 (https://app.notion.com/p/9d8b4a8a27f14aa59c53fa061c97c605?pvs=21), PINT Website修正 (https://app.notion.com/p/b411dd577ef6453bad2333524de3cd96?pvs=21)",,,,
超特化ブログペルソナ設定,学び,work notes,2023年6月9日 17:42,https://www.youtube.com/watch?v=8x7s8OGwKuo,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
超特化ブログサイト設計,学び,work notes,2023年6月9日 17:33,https://www.youtube.com/watch?v=8x7s8OGwKuo,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
超特化ブログ記事の書き方,学び,work notes,2023年6月9日 17:20,https://www.youtube.com/watch?v=8x7s8OGwKuo,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
超特化ブログジャンルの選び方：激戦を選ぶ,学び,work notes,2023年6月9日 17:13,https://www.youtube.com/watch?v=8x7s8OGwKuo,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
スタート前にやること,"HP, WP",work notes,2023年6月7日 17:56,,超特化ブログビジネス (https://app.notion.com/p/022a066727344d6b83baa0b5c6bf4fe4?pvs=21),,超特化ブログビジネス 準備 (https://app.notion.com/p/e4f6f78981b5464ba2fa45ca8e4ceae4?pvs=21),,,,
EA資金状態,"EA, FX",work notes,2023年6月5日 0:38,,,,FXで資産運用 (https://app.notion.com/p/69c8fce86f064f96a0599e9fed8e81e8?pvs=21),,,,
家族信託 文章見本BOOKマーク,work notes,work notes,2023年5月29日 19:12,,伊藤事務所 (https://app.notion.com/p/50ae285c895d4fe0afb9f0295ac76156?pvs=21),,伊藤事務所さん家族信託ページ追加 (https://app.notion.com/p/637b11d2de7b4da6a9d8a6f5c2960641?pvs=21),,,,
フォームからのスパムメール,"HP, WP, エラー",work notes,2023年5月29日 18:16,https://mstao.net/,SUNNYSH (https://app.notion.com/p/08d06c9684c3467ba3373ef7768d2323?pvs=21),,,,,,
