タイトル,Attention Leve,URL,タグ,テキスト,作成日,投稿 済・未,日付
無料！物語生成が得意な AIノベリスト,,https://ai-novel.com/,"AI-related, 文章生成, 記事制作",日本語で史上最大、総2テラバイト以上で訓練した小説AIです。お試しプロンプトから始めるか、好きな文章を入力して始めましょう。,2023年9月15日 15:04,,
SeaArtのControlNetの使い方について完全解説,,https://ai-illust-kouryaku.com/?p=3328,"AI-related, BookMark, Stable Diffusion Insights, WebSite, デザイン, 画像・映像生成",ControlNetで生成してほしいポーズの画像生成や画風・塗りを変えることもでき画像生成した作品をさらにクオリティアップ,2023年9月15日 19:09,,
AIでSEOに強いブログの作成法  7STEP,,https://www.youtube.com/watch?v=lffTHuvCCCQ,"AI-related, BookMark, ChatGPT, SEO, YouTube, マーケティング, 文章生成, 稼ぐ, 記事制作, 超特化ブログ",今まで1週間はかけていたSEO対策用のガチページが、たった10分で作成できる世の中になりました。,2023年9月16日 2:13,,
簡単なのに、まるでCG。なんでも指先で変えられる。,,https://www.youtube.com/watch?v=pjROYvc0Y6M,Hobby,コイン、トランプ,2023年9月18日 16:12,,
プログラム的な出力ができるプロンプト例,,,"ChatGPT, プロンプト, プロンプト例",,2023年9月22日 10:54,,
再生回数が上がるタイトル生成プロンプト,,,"ChatGPT, プロンプト, プロンプト例, マーケティング, 稼ぐ",,2023年9月22日 11:04,,
動画生成AIの正しい使い方【Runway】,,https://www.youtube.com/watch?v=iFEFDRPFYGs,"AI-related, アプリ・ソフト, 画像・映像生成","動画生成AIの正しい使い方【Runway】、テキストだけでなく、絵文字からも動画を生成くれるとは。。。
プロンプトをもう少し細かく設定すれば、テキストから広告動画も作れそうですね",2023年9月23日 12:36,,
【runway】写真に命を吹き込むAI,,https://runwayml.com/,"AI-related, アプリ・ソフト, 画像・映像生成",写真から動画生成,2023年9月23日 12:38,,
【clipdrop】写真加工、パーツ削除、背景を透明化,,https://clipdrop.co/ja,"AI-related, アプリ・ソフト, 画像・映像生成",フォトショップの様に写真の中の素材をけ消したり、背景を消したい便利ツール,2023年9月23日 12:41,,
誰でも簡単にAIで漫画を作る方法,,,"AI-related, BookMark, YouTube, アプリ・ソフト, 画像, 画像編集",,2023年9月24日 12:59,,
【AIいらすとや】AIイラスト素材生成,,https://aisozai.com/irasutoya,"AI-related, アプリ・ソフト, 画像・映像生成",AIでイラスト素材を生成,2023年10月3日 14:18,,
【Perplexity】AI検索でリサーチ業務の効率化,,https://www.youtube.com/watch?v=L-T9DjD4P6A,"AI-related, マーケティング, リサーチ, 仕事環境改善, 実務, 稼ぐ","対話型AI検索エンジン
お仕事や学業などで調べものを強力にサポートするツール『Perplexity』で、最新情報を、出典元（引用文献など）を提示しながら、答えてくれます！
正確かつ最新の情報がほしいリサーチ業務を楽に",2023年10月3日 14:32,,
アホを大切に,,,inBOX,,2023年10月5日 11:04,,
ひー,,,inBOX,,2023年10月5日 11:07,,
WEB集客,,,inBOX,,2023年10月6日 11:00,,
動画台本用プロンプト,,https://www.youtube.com/watch?v=ideiLMvPDaU,"AI-related, プロンプト",【完全解説】ゼロからAIだけで動画を作成する方法,2023年10月7日 12:16,,
アバター付き動画生成AI【wondershare virdo】,,https://virbo.wondershare.com/,"AI-related, アプリ・ソフト, 画像・映像生成",AIを活用して、アバターを使用したり、動画のストーリーや構成、BGM、テロップなどを自動で作成できることです。これにより、動画編集の知識やスキルがなくても、簡単にプロ級の動画を作ることができます。,2023年10月7日 12:26,,
WEB集客SCHOOL-ハル 　特化ブログ,,https://www.youtube.com/@webharu,"AI-related, BookMark, ChatGPT, SEO, WordPress, YouTube チャネル, マーケティング, リサーチ, 稼ぐ, 記事制作, 超特化ブログ",,2023年10月7日 18:20,,
細かな技術や新しいことは置いておいて今は自愛,,,inBOX,,2023年10月7日 19:26,,
【ChatGTP・Googleスプレットシート】,,https://www.youtube.com/watch?v=nyL--wOg7fo&t=491s,"AI-related, BookMark, SEO, YouTube, リサーチ, 稼ぐ",ChatGPT×Googleスプレッドシートをノーコードで連携する方法,2023年10月8日 1:20,,
ミニ盆栽鉢、カラフル豆盆栽、豆鉢、ランダム21点セット,,https://jp.mercari.com/item/m21104189390,"Hobby, 庭、コケトリウム、盆栽","【出品内容】
超ミニミニ盆栽鉢21点のお得なランダムセットです。
鉢底ネット(10*10cm)をおまけします。
※多数の中から選ぶことに困る方へ:
選ばずにお楽しみランダムの21点セットをおすすめします！！！
出品した商品をご参考に、色などの希望があれば、教えてくださいね。",2023年10月11日 13:16,,
コケの豆盆栽をつくる,,https://www.youtube.com/watch?v=8nuDVuXMNDE&t=407s,"Hobby, 庭、コケトリウム、盆栽",世田谷ボロ市で購入した盆栽鉢を使って、コケの豆盆栽をつくります。器、石、苔の組み合わせで、色々な作品を作って楽しむことができます。,2023年10月11日 13:22,,
なぜゲームでやる作業に執着しているのか？,,,inBOX,,2023年10月13日 19:16,,
ゲームの執着を分解する。,,,inBOX,,2023年10月13日 19:35,,
排水が集まるようなところは、人は少ないが鬼がいそう,,,inBOX,,2023年10月13日 20:14,,
魂の輪郭とは？,,,inBOX,,2023年10月14日 20:07,,
【三重県】青山高原 保健休養地,,https://www.aoyama-hoyochi.co.jp/index.html,"Camp, Camp Site",キャンプ場名: 青山高原保健休養地キャンプ場 ; 住所: 三重県津市白山町伊勢見4番地青山高原保健休養地管理会社,2023年10月15日 18:49,,
これからもっと自由になる,,,inBOX,,2023年10月17日 14:59,,
科学とスピリチュアルの統合は平和の予兆,,https://note.com/subekoro/n/n9ff43ed2a9b1,"学び, 宇宙, 科学",フリッツ・アルバート・ポップ のバイオフォトンについて調べていて見つけたサイト。二重スリット、引き寄せ、量子もつれなどにつても話している,2023年10月17日 19:50,,
ChatGPTのDALLE3機能で使える小技10選,,https://www.youtube.com/watch?v=JBCBwE75QgU,"ChatGPT, DALL-E 3, プロンプト, プロンプト例, 画像, 画像・映像生成",DALLE3の使い方、画像を読み込みそのポーズをDALLE3で生成など,2023年10月18日 12:54,,
静止画を動かせる　AI VIdeo作成ツール ANIMATED DRAWINGS,,手描きイラストからアニメーションを生成するAI『Animated Drawings』,"AI-related, BookMark, 映像, 画像・映像生成",誰でも簡単に手描きのマンガやイラストをアニメーション化できる無料のWebサービス「Animated Drawings」をご紹介。画像をアップロードするだけで、キャラクターが動き出します。,2023年10月19日 12:56,,
背景を透明にするAI 画像編集アプリ Clipdrop,,https://clipdrop.co/ja,"AI-related, BookMark, 映像, 画像・映像生成",背景削除が簡単！画像編集AIツール「ClipDrop」,2023年10月19日 13:04,,
希望した通りではなく思考した通りになっている,,,inBOX,,2023年10月20日 9:40,,
『108-6』クレンジング-1,,,"動画まとめ, 学び, 宇宙, 達人：桑田・自己観察 関連",,2023年10月20日 10:20,,
思考には重いと軽いがある,,,inBOX,,2023年10月20日 11:48,,
マイナスの状態からゼロに戻ると満たされているイメージ,,,inBOX,,2023年10月20日 18:20,,
ないのは無いのではなくてないものがある,,,inBOX,,2023年10月20日 18:25,,
【FX初心者訓練】FX トレード手法　1時間足チャートだけで環境認識　（シリーズ第1弾）,,https://www.youtube.com/watch?v=prqxM3pRbfE,"BookMark, FX, 稼ぐ",FXトレードにおける環境認識からエントリー、決済まで完全に裁量なしで行うトレード手法です。1時間足に引いた移動平均線を基準にトレードの可否を判断し、さらに下位足で同様の見方でエントリーポイントを決定していきます。デイトレードとスキャルピングの両方に対応します。,2023年10月21日 19:26,,
1000km以上の山からエネルギーを受け取っていることを人に言っていいか？,,,inBOX,,2023年10月21日 19:38,,
墓場に鬼や悪魔がいるか？,,,inBOX,,2023年10月21日 20:57,,
【108さん】 エゴのゲームを放棄して 充足の方を見る,,https://www.youtube.com/watch?v=T0S31nGOEC4,"BookMark, YouTube, 学び, 宇宙, 達人：桑田・自己観察 関連",ほとんど人が充足を無視してエゴゲームに走り不足を探している,2023年10月22日 1:32,,
ひー母学び,,,inBOX,,2023年10月23日 8:27,,
papper手法　分析、実践 動画,,https://www.youtube.com/watch?v=Fopt2alCWOw&t=364s,"BookMark, FX",ペッパーさんの天底手法Ver.4 の成功率・カンタンさが常軌を逸し過ぎていて、真面目にFX分析している自分が少し馬鹿らしくなった話ｗ　【2023年6月17日】,2023年10月23日 14:00,,
ババーがひとの真面目な話を聞かないからこっちもきじゃない,,,inBOX,,2023年10月23日 21:33,,
釈迦の教えと仮想現実,,https://www.youtube.com/watch?v=97mH9kO82Jk,"学び, 宇宙, 物理学, 科学",仏教が悟っていた宇宙の真理がヤバすぎた【仮想現実】仏陀、ブッダ、仏,2023年10月23日 22:24,,
嫌なものを埋める癖を自覚する,,,inBOX,,2023年10月25日 18:10,,
ベアは人と同じように見えるのがいるらしいけど,,,inBOX,,2023年10月28日 10:58,,
減らないトランプ手品,,https://www.youtube.com/watch?v=ARrZKZEmsUw,"Hobby, 手品",,2023年10月28日 13:30,,
ベアは人と同じように見えるのがいるらしいけど,,,inBOX,,2023年10月28日 19:52,,
タンパク質はプロテインとかどぃいか？,,,inBOX,,2023年10月28日 19:53,,
ChatGTP DALL-E3 思い通りの画像を生成する最新プロンプトエンジニアリング,,https://www.youtube.com/watch?v=blHg-gWnego,inBOX,Chain of Thought プロンプティングをChatGTP上でカスタムインストラクションズすると、精度が上る,2023年10月29日 9:27,,
【Python】仕事を自動化できること50例と学習ロードマップ,,https://www.youtube.com/watch?v=xoL2Q3zjn3k,"BookMark, Program, YouTube, python",,2023年10月29日 15:06,,
DALL-E 3【文字をキレイ】に入れる画像生成,★★★★★,,"プロンプト, プロンプト例, 生成, 画像",,2023年10月29日 18:08,,
パズドラ 　裏修羅(裏魔門の守護者)の幻界の攻略　片サレーネ,,,"Game, Hobby",,2023年10月29日 19:11,,
良いトバリを下すことは出来るか？,,,inBOX,,2023年10月29日 19:33,,
【DALL-E 3】完全ガイドこの動画一本で理解できる教科書,,https://www.youtube.com/watch?v=vqnPuTltFN8,"AI-related, ChatGPT, DALL-E 3, プロンプト, プロンプト例, 生成, 画像","ChatGPT DALL-E3機能の完全版解説動画
プロンプト30種以上収録。条件付きで資料無料配布",2023年10月30日 9:29,,
5分足スキャルピングにASCTrend　100回検証,,https://www.youtube.com/watch?v=QGiRKHLGAaE,"BookMark, FX, YouTube",,2023年10月31日 18:31,,
ChatGPTを使ってマインドマップを作成,,https://www.youtube.com/watch?v=PAaPEBvzhjE,"BookMark, ChatGPT, YouTube, 生成",ChatGPTの公式プラグインCode Interpreterを使ってマインドマップを作成,2023年11月1日 17:19,,
本当の自分には何の問題も起きていない,,https://www.youtube.com/watch?v=RH4PLI3R-Pk,"BookMark, YouTube, 動画まとめ, 学び, 宇宙",【原因】→【経過】→【結果】だと思うのが普通だが、原因の方に意識を集中しないで、【今】を生きることが大切,2023年11月2日 15:46,,
"【DALL-E3】AIスムーズに画像生成マニュアル　ChatGPT ",,https://www.youtube.com/watch?v=2HfXgMJNhZE,"BookMark, ChatGPT, DALL-E 3, 生成, 画像",,2023年11月3日 9:21,,
AIの専門家同士が議論し回答を導き出す,,https://www.youtube.com/watch?v=JolvUEMz0HI,"BookMark, ChatGPT, プロンプト",,2023年11月4日 9:45,,
健在意識　潜在意識　本体　精霊　宇宙,,,inBOX,,2023年11月5日 20:15,,
人生の目的は悟ることで,,,inBOX,,2023年11月5日 20:20,,
DALL-E3の質感指定プロンプト,,,"ChatGPT, DALL-E 3, GTP-4V, プロンプト, プロンプト例",この粘土の模型っぽいデザインのプロンプト、デザイン事態にこのプロンプトを追加で入れる,2023年11月6日 18:24,,
【もりたさん①】在るまでのメカニズム,,https://www.youtube.com/watch?v=F0DfvXaFzds,"YouTube, 動画まとめ, 学び, 宇宙, 達人：桑田・自己観察 関連",やばいやばい！悟った！引き寄せのメカニズムが分かったかも！【もりたさん①】【潜在意識ゆっくり解説】,2023年11月8日 18:58,,
雑記ブログ キーワード選定のポイントと流れ,,https://www.youtube.com/watch?v=WJ7bf7ZPwNY,"BookMark, SEO, YouTube, マーケティング, リサーチ, 学び, 記事制作, 超特化ブログ",,2023年11月9日 15:33,,
久々に小林動画見る,,,inBOX,,2023年11月12日 11:17,,
願望への執着のループから抜け、充足のループに入る方法,,,"学び, 宇宙",【108さん】じゃがりこを手に入れてください。,2023年11月13日 16:39,,
仮想現実の帳尻を合わせるために、記憶を操作,,,inBOX,,2023年11月14日 13:42,,
仮想現実の帳尻を合わせるために、記憶を操作,,,inBOX,,2023年11月14日 13:56,,
ひー母に宇宙のネガポジの刺激の話,,,inBOX,,2023年11月14日 13:57,,
【GPTs】実在する人物を完璧なまでにコピーしてChatbotを作る方法,,,"ChatGPT, GPTs, プロンプト",https://www.youtube.com/watch?v=ZWWP5YGTI2Q,2023年11月15日 1:24,,
FXで重要なのは、小さな利益でもより確実にとっていく,,,inBOX,,2023年11月15日 1:43,,
人間に自由意思がない実験,,https://www.youtube.com/watch?v=JIWIRGbI5Wc,"BookMark, YouTube, 取扱説明書, 学び, 宇宙, 潜在意識, 科学",意識的な決定は、0.35秒前に無意識が決定している,2023年11月15日 18:04,,
【GMMA】とDMAを組み合わせた手法,,https://www.youtube.com/watch?v=rRc5CJ_FJwo,"BookMark, FX, YouTube, 手法, 稼ぐ",,2023年11月17日 19:07,,
コピペで使えるChatGPTプロンプト集,,https://www.youtube.com/watch?v=eYwbA27U3cU,"BookMark, ChatGPT, YouTube, プロンプト, プロンプト例",,2023年11月17日 19:14,,
【DALLE3】で同じ画像を生成する時に追加するプロンプト,,https://www.youtube.com/watch?v=CKPKddZkxPw,"ChatGPT, DALL-E 3, プロンプト, プロンプト例, 動画まとめ, 生成, 画像, 画像・映像生成",,2023年11月18日 12:53,,
【debug】まとめ,,,"学び, 宇宙, 本まとめ",,2023年11月19日 16:00,,
oGC買ってるのに　なぜカラス,,,inBOX,,2023年11月20日 1:44,,
【Cursor】次世代AIエディタ,,https://www.youtube.com/watch?v=op5LZ0rZ4Ck,"AI-related, BookMark, YouTube, プロンプト",AIを活用したコードの自動生成、AIによるコードの説明や解説、AIによるコードのテスト,2023年11月20日 22:45,,
【Notion × ChatGPT】ChatGPTの内容をNotionに簡単保存し管理,,https://www.youtube.com/watch?v=xgbe-Ocex04,"AI-related, BookMark, ChatGPT, Notion, YouTube, memo, アプリ・ソフト, プラグイン, 設定",,2023年11月21日 18:08,,
【Gamma】でパワーポイントスライド企画書をAIで自動生成 ※ポイント制,,https://www.youtube.com/watch?v=e7p2lURYOHg,"AI-related, pawa-poito, 企画書",,2023年11月21日 19:06,,
【マインドマップ】をChatGTPで生成,,https://www.youtube.com/watch?v=p7oTgy-gH6w,"AI-related, BookMark, ChatGPT",CgatGTPで、freemindで記述し、MindNode用のマインドマップファイルを生成,2023年11月22日 0:19,,
磁力の発生と悪い波動から守るガードの強化の仕組み,,,"学び, 宇宙, 物理学, 科学",,2023年11月27日 16:32,,
これからにブランディングは悪いとこをどうアプローチするかが大切,,,inBOX,,2023年11月28日 12:25,,
英語に突然なった時に日本語に直す方法,,,"Notion, 問題解決, 設定",設定で、日本語になっているが、一度、英語にしてから日本語に変えると直る,2023年11月30日 12:39,,
勝率100%EAを開発した話の動画,,https://www.youtube.com/watch?v=ly1Bkt7e8Tg,"BookMark, EA, FX, YouTube, 手法, 稼ぐ",,2023年12月4日 9:31,,
おばあちゃんの予言,,https://www.youtube.com/watch?v=XBQC8-jd4cc,"BookMark, Hobby, YouTube, 動画まとめ, 宇宙, 開運・占い Project",,2023年12月4日 13:49,,
【Stable Video Diffusion】で動画生成AI,,,"BookMark, Stable Diffusion Insights, Video, 動画編集, 映像, 生成, 画像・映像生成",,2023年12月6日 12:33,,
Supertrend + Stoch RSI 手法,,https://www.youtube.com/watch?v=81eMliO5zoE,"BookMark, FX",,2023年12月9日 12:57,,
EAをChatGTPを使い自作,,https://www.youtube.com/watch?v=NMKdeJsvfuE,"BookMark, ChatGPT, FX, YouTube, プログラム",初心者がChatGPTでMT4(FX)の自動売買のプログラムを組んだ動画、テストもしてる,2023年12月10日 14:15,,
【実践編】老子『あるがまま生きてりゃ何も問題なんて起こんねーんだよ』,,https://www.youtube.com/watch?v=drXhX0AFKMc,"BookMark, YouTube, 哲学, 宇宙",,2023年12月12日 17:26,,
この世界が仮想現実である理由と証明,,https://www.youtube.com/watch?v=4bdpb92mp0M,"BookMark, YouTube, 学び, 宇宙, 物理学, 科学",,2023年12月12日 18:23,,
【ショーペンハウアー】「あらゆる欲求を捨てた先にしか、幸福なんてねーんだよ」,,https://www.youtube.com/watch?v=BXNsMfKVxJI,"BookMark, YouTube, 偉人, 哲学, 宇宙",,2023年12月14日 12:41,,
誰でも勝てる1５分足 スキャルピング手法,,https://www.youtube.com/watch?v=5yjtVnTy_54,"BookMark, FX, YouTube, 手法",20EMAと200EMAだけを使う15分スキャル、理解がちょい難しい,2023年12月18日 0:14,,
ピラミッティング,,https://www.youtube.com/watch?v=3PgTRdwkMUU,"BookMark, FX, YouTube, ハイトレFX億トレーダーへの道, 手法",,2023年12月18日 17:09,,
Goldの簡単手法 ヒゲでエントリー,,https://www.youtube.com/watch?v=M5cyJ2Q6u9Q,"BookMark, FX, YouTube, ハイトレFX億トレーダーへの道, 手法",,2023年12月19日 19:45,,
【pepper手法】FXで99％勝つ勝率を上げるトレード戦略『天井と底が分かる裏技Ver3編,,https://www.youtube.com/watch?v=ahTG3XcnZ5k&t=429s,"FX, YouTube, 動画まとめ, 手法",,2023年12月20日 17:49,,
【Mootion】テキストのみでモーション動画が生成される,,https://www.youtube.com/watch?v=r4Qx4cqG2bA&t=393s,"AI-related, BookMark, Video, YouTube, 生成, 画像・映像生成",,2023年12月21日 14:31,,
ゲストハウス伊良湖,,https://www.booking.com/hotel/jp/guesthouse-irago.ja.html?aid=356980&label=gog235jc-1DCAYYrwIodUIFYWljaGlIFVgDaHWIAQGYARW4AQfIAQzYAQPoAQH4AQKIAgGoAgO4AsH5j6wGwAIB0gIkNGMzNDAwMjUtYTk5MC00YWQxLWI0YzctODNjOTM3NDljNTY42AIE4AIB&sid=67e9a027aa310f605d7fc87f5f963dd0,Travel-related,,2023年12月21日 18:01,,
【v0】スクショや抽象的な指示でUI書き出しAI,,https://www.youtube.com/watch?v=blbw7EKWCug,AI-related,スクショでも、適当な指示（カフェのデザイン）のプロンプトでもデザインができてしまう,2023年12月23日 12:07,,
少額トレーダーから専業になる計画・ステップ,,https://www.youtube.com/watch?v=fexGcPTNlN0,"BookMark, FX, ハイトレFX億トレーダーへの道, 動画まとめ, 必ず見る動画 / 再生リスト",【FX初心者必見】少額トレーダーから専業になるまでの具体的な立ち回り,2023年12月23日 15:08,,
最速で稼ぐために必要な目標設定のステップ,,https://www.youtube.com/watch?v=iRj9w9Ku1fc,"FX, ハイトレFX億トレーダーへの道, 動画まとめ, 必ず見る動画 / 再生リスト",【神回】最速で稼ぐために必要なたった１つのこと,2023年12月23日 16:07,,
資金管理で5万円から8000万稼いだ方法,,https://www.youtube.com/watch?v=d5Xfn_wNw0g&list=PLNGEKxuiLyh318pz4GUfhDRSj9nG4llRr,"BookMark, FX, ハイトレFX億トレーダーへの道, 動画まとめ, 必ず見る動画 / 再生リスト",1）【FX勝ち組の資金管理法】5万円から8000万稼いだ方法を伝授,2023年12月23日 17:14,,
FXで10万円を３００万円にする手法,,https://www.youtube.com/watch?v=ABjvvCfYYXY&list=PLNGEKxuiLyh318pz4GUfhDRSj9nG4llRr&index=2,"BookMark, FX, ハイトレFX億トレーダーへの道, 必ず見る動画 / 再生リスト",2）【ゆっくり実況】FXで10万円を３００万円にする具体的な考え方と手法を紹介,2023年12月24日 9:46,,
専業FXトレーダーになれたきっかけ３選,,,"BookMark, FX, ハイトレFX億トレーダーへの道, 動画まとめ, 必ず見る動画 / 再生リスト",3）借金まみれの負け組FXトレーダーが専業になれたきっかけ３選,2023年12月24日 16:59,,
専業FXトレーダーになれたきっかけ３選,,,"BookMark, FX, ハイトレFX億トレーダーへの道, 動画まとめ, 必ず見る動画 / 再生リスト",3）借金まみれの負け組FXトレーダーが専業になれたきっかけ３選,2023年12月25日 16:05,,
年賀状デザイン 2025年,,,,,2023年12月26日 1:50,,
ピンバーを自動検出するインジケーター,,https://manabu-blog.com/tradingview-pin-bar-indicator,"FX, TradingView, インジケーター・オシレーター",,2024年1月2日 18:40,,
頭痛に聞くヨガのポーズ,,,"Health, トレーニング",,2024年1月4日 18:22,,
【Kaiber AI】動画生成AI 要カード登録,,https://kaiber.ai/,"AI-related, 画像・映像生成",,2024年1月5日 14:37,,
CahtGTPで画像入り【パワポスライド】資料を半自動で作成する方法,,https://www.youtube.com/watch?v=drrubbM7Dp4,"BookMark, ChatGPT, YouTube, プロンプト, プロンプト例, 実務, 文章生成",CahtGTPで内容、画像生成、データダウンロードし、パワポで読み込みデザインを整える,2024年1月6日 17:52,,
【パワポ】資料やプレゼン資料を自動生成できるAIツール３選【ChatGPT/ Gamma / Tome ai】,,https://www.youtube.com/watch?v=dZb6FRX7S7g&t=210s,"AI-related, ChatGPT, 文章生成, 資料",AIで簡単にパワーポイントの資料を生成できる。,2024年1月6日 19:59,,
AIに質問してもらい、さらに良い結果を出す,,https://www.youtube.com/watch?v=ShvRrNXbPfc,"AI-related, BookMark, ChatGPT, プロンプト, プロンプト例, 文章生成",,2024年1月7日 2:00,,
ChatGPT研究所 - ChatGPT、GPTsの詳しいサイト,★★★★,https://chatgpt-lab.com/,"BookMark, ChatGPT, GPTs, WebSite, プラグイン",ChatGPT や AI ツールが持つ無限の可能性について探っていルサイト。有料でかなり詳しそうなGPTsラボを運営している。,2024年1月7日 12:26,,
本当に役立つ便利なWebサイト - 有益なのに無料,★★,https://www.youtube.com/watch?v=QocOlNN6K_k,"BookMark, WebSite, YouTube",本当に便利なWebサイトを厳選,2024年1月7日 15:26,,
処理能力爆上げ / 時短の無料Webツール48選,,https://www.youtube.com/watch?v=A4ZWHu1OXYg,"BookMark, WebSite, YouTube, アプリ・ソフト, 便利, 実務",日本語校正サポート、AIひらめきメーカー、ChatPDF、電子レンジ 時間自動変換、似顔絵メーカー,2024年1月8日 12:31,,
【GPTs】のカスタムボットで条件分岐を追加する方法,,https://www.youtube.com/watch?v=CCNF7jVhPAU,"BookMark, ChatGPT, GPTs, YouTube",My GPTsで作成したカスタムボットに先日解説したスプレッドシートにAPIで連携する方法の応用として条件分岐を追加する方法を解説,2024年1月8日 16:56,,
岡田斗司夫さんのスマートノート,,,本まとめ,,2024年1月9日 16:27,,
Googleカレンダー予約【Forms】から決済【Stripe】,,https://www.youtube.com/watch?v=VfnuIc_wUU8,"WebSite, アプリ・ソフト, プログラム, マーケティング, 稼ぐ",Google Formsで予約を受付、Googleカレンダーで管理し、Stripeで決済（有料）,2024年1月18日 16:49,,
【桑田さん②】願望を叶えるのではなく、この仮想現実を理解する。,,https://www.youtube.com/watch?v=a4wuObbcYk4&t=1900s,"YouTube, 動画まとめ, 学び, 宇宙, 達人：桑田・自己観察 関連",良いも悪いもなく、全ては完璧 としか言えない宇宙が本当の自分です。【桑田さん②】,2024年1月19日 9:47,,
パワポ×ChatGPTで「絶対伝わる資料」作成術,,https://www.youtube.com/watch?v=PVb8KUtlmIY,"BookMark, ChatGPT, プロンプト, プロンプト例, 企画書, 動画まとめ, 資料",ChatGPTのプラグインや特性を「資料作成に特化」して、「伝わる資料の考え方」で資料作りをします,2024年1月19日 19:11,,
【GPTs】KnowledgeとActionsの使い方【後篇：初心者向け】【ずんずん生成AI比較】,,https://www.youtube.com/watch?v=tKzt8-pVWL0,"BookMark, ChatGPT, GPTs, YouTube",ChatGPTのGPTsKnowledgeとActionsの説明と設定について紹介。前編後編動画の前編。,2024年1月20日 9:38,,
【GPTs】のつくり方前編とりあえず作ってみよう！【前篇：初心者向け】【ずんずん生成AI比較】,,https://www.youtube.com/watch?v=qRoSd1mCqQ4,"BookMark, ChatGPT, GPTs, YouTube",ChatGPTのGPTsをこれからを作っていきたい人向けに制作手順を紹介。各機能の説明。前編後編に分かれる動画の前編。,2024年1月20日 9:43,,
ChatGPTで【テトリス】づくり: BGMも花火の演出も全部AI【ずんずん生成AI比較】,,https://www.youtube.com/watch?v=xfKHN4h1YSo,ChatGPT,ChatGPTでテトリスを作る動画を見て僕も作ってみたくなりました。後発の動画のため、差別化として花火の演出やBGMもAIで作成してみました。,2024年1月20日 12:01,,
人は多く集まれば集まるほど馬鹿になる,,https://www.youtube.com/watch?v=EU0upmkqrSE&t=1s,"心理学, 情報発信ネタ, 潜在意識",フランスの心理学者、ギュスターヴ・ル・ボン。ナポレオン、群集心理、洗脳,2024年1月21日 12:38,,
ChatGPTの【画像編集】まとめ。GPTs製作も,,https://www.youtube.com/watch?v=qZNGD3P9H9c,"ChatGPT, Code Interepreter, DALL-E 3, GPTs, python, プロンプト, プロンプト例","サイズ変更/トリミング/切り抜き。画像加工を紹介。GPTsの制作に役立つコードインタプリタやpythonコードについても触れています。
",2024年1月31日 15:15,,
"モバイルレジェンド/ノーラン ",,https://www.youtube.com/watch?v=eSXSbf7tDLo,"Game, Hobby",,2024年2月1日 14:16,,
ChatGPTだけでテトリスを作る,,https://www.youtube.com/watch?v=tJCjxtNJSE0,"ChatGPT, Game, プログラム",,2024年2月9日 9:28,,
人気のインジケーター TOP 5,,https://www.youtube.com/watch?v=y1RfovdPc00,"FX, インジケーター・オシレーター",,2024年2月12日 17:06,,
買い売りサイン インジケーター【TrippaTrading 日本】,,https://www.youtube.com/watch?v=-uT4xMKW2Tg,"FX, インジケーター・オシレーター, 手法",AI読み上げ動画,2024年2月17日 18:36,,
,,,Camp,,2024年2月18日 19:09,,
【三重県】ラム＆ピース！榊原温泉 湯の瀬 ラムちゃんパーク,,https://sakakibaraonsen.com/,"Camp, Camp Site, 情報",湯・榊原温泉の温浴施設に加え、高齢者や障がい者の方が安心して旅を楽しんでいただける福祉旅館、ラム×地元食材をテーマにしたレストラン、バーベキュー場、 ..,2024年2月18日 19:09,,
集客メソッドのChatGPT AIプロンプト,,https://docs.google.com/document/d/12T6OMeZ1W66dbsPx0JqTk_Ou2D6EYghl83Gxf016IOs/edit,"BookMark, SNS, プロンプト, プロンプト例, マーケティング, 稼ぐ",集客メソッドの全てを詰め込んだChatGPT AIプロンプトを厳選でご紹介,2024年2月19日 16:18,,
ナポレオン・ヒル　悪魔が明かす「世界の秘密」,,https://www.youtube.com/watch?v=s-YKgdd2lok&t=929s,"BookMark, YouTube, 動画まとめ, 自己啓発",,2024年2月26日 18:56,,
AIマインドマップツール,,https://www.youtube.com/watch?v=S79Kuh_BpD4,"AI-related, BookMark, Online tools, YouTube, アプリ・ソフト",,2024年3月3日 0:49,,
胡桃島キャンプ場 /御嶽山/コテージ/条件付ペットOK,,http://www.gix.or.jp/~z33asahi/camp.html,"BookMark, Camp, Camp Site, WebSite",約１，８５０ｍの高所にある胡桃島キャンプ場。大自然に囲まれ、コテ－ジ７棟があり、テントサイトは全部で59区画,2024年3月4日 23:07,,
Claude3におけるプロンプト術の解説,,https://www.youtube.com/watch?v=otqEjGXZ2Ho,"AI-related, BookMark, Claude3, YouTube, プロンプト, 動画まとめ",,2024年3月12日 1:14,,
Claudeを賢くするためのプロンプト,,https://zenn.dev/ttks/articles/5b071665326719,"AI-related, BookMark, Claude3, WebSite, コード・タグ, プロンプト",,2024年3月12日 9:14,,
Claudeで種類の違う複数のドキュメントを読ませるタグ,,https://zenn.dev/ttks/articles/5b071665326719,"AI-related, BookMark, Claude3, WebSite, コード・タグ, プロンプト",,2024年3月12日 9:18,,
Claudeで使える【XMLタグ】,,,"AI-related, コード・タグ, プロンプト, プロンプト例",,2024年3月12日 15:03,,
